id,label
103,0
499,0
265,0
104,0
340,0
171,0
144,0
210,0
418,0
427,0
219,0
447,1
241,0
65,0
216,0
378,1
324,0
330,0
138,0
19,0
52,0
498,1
491,0
371,0
287,0
398,0
278,0
457,1
98,0
119,0
358,0
49,0
327,0
141,0
266,0
225,0
220,0
295,0
310,0
276,0
4,0
243,0
445,0
347,0
435,0
250,0
465,0
302,0
191,0
428,1
268,0
223,0
252,0
283,0
375,0
36,0
234,0
78,0
180,0
489,0
328,0
92,0
226,0
318,0
475,0
365,0
11,0
385,1
114,0
193,0
286,0
361,0
68,0
213,0
296,0
145,0
415,0
57,0
403,1
142,0
29,0
22,0
482,0
80,0
69,0
362,0
299,0
409,1
493,0
45,0
453,0
437,1
71,0
174,0
279,0
247,0
470,1
47,0
280,0
244,0
201,0
364,0
258,0
368,0
363,0
96,0
303,0
208,0
261,0
272,0
84,0
309,0
13,0
190,0
204,0
128,0
462,0
175,0
406,0
474,0
463,0
282,0
25,0
33,0
113,0
259,0
118,0
73,0
183,0
31,0
271,0
7,0
90,0
152,0
292,0
487,0
387,0
129,0
408,0
20,0
203,0
95,0
77,0
229,0
89,0
214,0
480,0
456,0
392,0
187,0
496,0
196,0
205,0
127,0
245,0
160,0
262,0
389,1
43,0
339,0
106,0
399,1
197,0
273,0
67,0
354,0
137,0
350,0
123,0
105,0
404,0
288,0
315,0
139,0
441,0
452,0
221,0
369,0
444,0
122,0
195,0
311,0
359,0
331,0
202,0
63,0
21,0
485,1
294,0
481,0
382,0
172,0
83,0
38,0
264,0
227,0
472,1
342,0
319,0
290,0
429,0
476,0
232,0
440,0
185,0
108,0
5,0
167,0
466,0
411,1
91,0
215,0
394,0
161,0
18,0
133,0
416,1
255,0
1,0
153,0
164,0
317,0
492,0
184,0
424,1
46,0
420,0
333,0
458,0
484,1
131,0
334,0
150,0
343,1
497,0
356,0
42,0
326,0
304,0
48,0
173,0
257,0
270,0
76,0
455,0
192,0
374,0
305,0
402,0
40,0
230,0
488,1
306,0
320,0
281,0
182,0
469,1
44,0
81,0
209,0
60,0
353,0
169,0
312,0
459,0
3,0
147,0
2,0
478,0
34,0
14,0
396,0
423,0
254,0
372,0
422,0
407,0
17,0
170,0
212,0
53,0
430,0
291,0
237,0
32,0
321,0
383,1
132,0
436,1
143,0
206,0
388,0
344,0
240,0
151,0
450,1
251,0
165,0
62,0
337,0
82,0
349,0
111,0
66,0
228,0
336,0
314,0
329,0
88,0
148,0
454,1
308,0
384,0
218,0
275,0
332,0
23,0
260,0
155,0
421,1
231,0
443,0
376,1
433,0
434,1
162,0
181,0
449,0
199,0
59,0
442,1
109,0
56,0
412,1
9,0
99,0
341,0
15,0
460,1
325,0
102,0
357,0
26,0
100,0
211,0
146,0
381,1
467,0
116,0
189,0
479,0
249,0
94,0
500,0
468,0
289,0
355,0
284,0
426,1
239,0
41,0
400,0
107,1
301,0
395,1
256,0
154,0
401,0
50,0
130,0
238,0
490,0
380,1
313,0
269,0
397,1
8,0
425,0
120,0
124,0
217,0
158,0
85,0
159,0
438,0
168,0
112,0
410,1
97,0
140,0
322,0
367,0
346,0
110,0
30,0
157,0
446,1
414,0
352,0
177,0
391,0
235,0
486,0
198,0
64,0
87,0
413,0
236,0
39,0
55,0
188,0
126,0
348,0
121,0
179,0
86,0
338,0
54,0
267,0
285,0
377,0
360,0
461,1
345,0
386,0
405,0
316,0
246,0
156,0
194,0
176,0
75,0
93,0
448,0
16,0
373,0
432,0
200,0
263,0
248,0
6,0
134,0
37,0
379,0
351,0
61,0
298,0
483,1
431,0
135,0
419,0
224,0
101,0
207,0
58,0
117,0
115,0
79,0
24,0
72,0
149,0
477,0
27,0
125,0
242,0
12,0
293,0
163,0
274,0
35,0
136,0
178,0
335,0
51,0
28,0
370,0
495,0
439,0
390,0
393,1
307,0
366,0
233,0
277,0
323,0
451,0
10,0
417,1
464,1
297,0
166,0
471,1
74,0
300,0
222,0
70,0
494,1
473,0
253,0
186,0
