id,label
446,1
364,1
397,1
205,0
207,1
453,1
408,1
455,1
415,1
101,0
344,1
70,0
340,1
441,1
281,1
312,1
46,0
378,1
471,1
223,1
108,0
95,0
323,1
215,1
370,1
161,1
146,0
395,1
436,1
213,0
89,0
470,0
63,0
368,1
72,0
428,1
100,0
309,1
472,1
216,1
362,1
220,1
50,0
248,1
387,1
234,1
30,0
115,0
51,0
225,1
49,0
422,1
112,0
483,0
290,1
355,1
33,0
346,1
180,1
127,1
219,1
121,0
356,1
195,0
360,1
349,1
442,1
335,1
447,1
276,1
492,1
231,1
14,0
449,1
206,1
85,0
399,1
83,0
159,1
424,0
479,1
430,1
5,0
382,1
204,1
260,1
13,0
414,1
54,0
311,1
244,1
418,0
257,1
297,0
478,1
283,1
256,1
214,1
391,1
133,0
268,1
267,1
79,0
106,0
439,1
464,1
131,1
233,1
175,1
35,0
324,1
291,0
52,0
308,0
443,0
279,1
142,1
189,0
440,1
69,0
103,0
236,1
151,1
97,0
134,1
338,0
250,0
96,0
401,1
498,1
499,1
92,1
245,1
109,0
114,0
141,1
179,1
4,1
377,1
125,0
303,1
407,0
184,0
319,0
118,0
53,0
34,0
342,0
27,0
11,0
426,1
500,1
152,1
155,1
111,0
373,0
188,1
429,1
80,0
6,0
71,0
381,0
82,0
135,1
458,1
187,1
7,0
241,0
3,0
292,1
451,1
90,0
232,1
372,1
76,0
240,1
371,1
350,1
450,0
306,1
351,1
457,1
191,1
224,1
380,1
78,0
48,0
369,0
246,1
38,0
39,0
298,1
366,0
164,1
282,1
172,1
193,1
163,1
144,1
352,0
273,1
329,1
200,1
174,1
495,1
300,1
487,1
77,0
286,0
259,1
124,0
419,0
417,0
123,0
456,1
385,1
462,1
274,0
365,1
258,1
275,0
404,1
288,1
170,1
25,0
316,1
339,1
210,1
196,1
226,1
183,0
45,0
486,1
432,1
325,1
489,1
343,0
334,1
136,0
262,1
468,0
278,0
392,1
24,0
357,1
336,0
354,1
58,0
197,1
21,0
202,1
266,0
452,1
16,0
444,1
421,1
201,1
1,0
403,1
98,0
41,0
2,0
93,0
270,1
157,1
326,1
261,1
166,1
435,1
74,0
235,1
119,0
169,1
181,1
177,1
496,1
293,1
396,1
390,1
488,1
484,1
44,0
221,1
156,0
480,1
47,0
359,1
255,1
20,0
162,0
491,1
154,1
176,1
242,1
475,1
465,1
57,0
466,1
280,1
75,0
99,0
416,1
433,1
105,0
128,0
26,0
285,1
320,0
84,0
12,0
116,0
413,1
185,1
363,1
104,0
199,1
145,1
315,0
198,1
107,0
171,1
117,0
467,0
15,0
238,1
317,1
497,1
330,1
81,0
62,0
386,1
367,1
287,1
383,1
167,1
394,1
59,0
137,1
253,1
437,1
194,1
345,1
388,0
113,0
454,1
314,1
212,1
307,1
299,0
22,0
203,1
149,1
87,0
263,1
406,0
376,1
36,1
469,1
358,1
182,1
249,1
463,1
42,0
411,1
138,1
427,1
126,1
379,0
448,1
139,1
393,1
272,1
67,0
143,1
64,0
321,0
265,1
333,1
402,1
269,0
476,1
158,1
296,1
29,0
423,1
43,0
409,1
353,1
494,1
120,0
122,0
130,0
91,0
481,1
251,1
55,0
56,0
165,1
148,1
37,0
389,0
434,1
295,1
222,1
40,0
398,1
313,1
294,1
445,0
243,1
252,1
68,0
94,0
490,1
88,0
361,1
31,0
337,1
460,0
17,0
60,0
493,1
186,1
405,0
192,1
302,0
384,1
431,1
304,1
474,1
477,1
473,1
412,1
375,0
173,1
208,1
247,1
374,1
129,1
102,0
438,0
400,1
110,0
237,0
322,1
209,1
425,0
218,1
61,0
32,0
318,0
217,1
230,1
459,1
327,1
10,0
271,1
410,1
190,1
18,0
168,1
140,1
348,0
178,1
331,0
328,1
420,1
277,0
160,1
28,0
65,0
228,1
239,1
23,0
289,0
482,1
153,1
229,0
150,1
19,0
66,0
264,1
147,0
485,1
8,0
73,0
227,1
86,0
9,0
332,0
461,1
347,1
132,1
305,0
301,1
341,1
310,1
284,0
211,0
254,1
